OrderID,OrderDate,CustomerID,ProductID,BranchID,Quantity,GrossSales,DiscountPct,Amount,Cost,Profit,OrderStatus
ORD000014,2023-01-30,CUST02140,PROD0010,B004,1,1842.55,0.1,1658.3,1072.0,586.3,Completed
ORD000019,2023-01-10,CUST00178,PROD0005,B002,2,2444.79,0.1,2200.31,1507.46,692.85,Completed
ORD000020,2023-10-30,CUST00701,PROD0077,B005,2,608.04,0.15,516.84,492.1,24.74,Completed
ORD000027,2023-07-15,CUST01234,PROD0114,B001,3,4123.61,0.1,3711.24,3129.5,581.74,Completed
ORD000030,2023-05-30,CUST02016,PROD0009,B001,1,319.28,0.15,271.39,195.53,75.86,Completed
ORD000032,2023-04-01,CUST00507,PROD0090,B003,2,393.36,0.1,354.02,400.36,-46.34,Completed
ORD000034,2023-09-29,CUST00178,PROD0041,B005,2,230.15,0.05,218.65,124.98,93.67,Completed
ORD000036,2023-08-12,CUST02182,PROD0068,B003,5,5124.67,0.1,4612.2,4116.82,495.38,Completed
ORD000037,2023-09-15,CUST00640,PROD0050,B005,4,4396.56,0.15,3737.08,2537.07,1200.01,Completed
ORD000038,2023-02-17,CUST01933,PROD0048,B001,3,2665.1,0.1,2398.59,1846.48,552.11,Completed
ORD000039,2023-09-09,CUST02171,PROD0097,B003,4,7044.68,0.15,5987.98,4338.46,1649.52,Completed
ORD000042,2023-01-31,CUST02001,PROD0073,B002,2,365.6,0.05,347.32,239.94,107.38,Completed
ORD000043,2023-08-07,CUST01327,PROD0055,B004,4,1858.97,0.0,1858.97,1054.16,804.81,Completed
ORD000044,2023-04-14,CUST01163,PROD0068,B005,5,5124.67,0.25,3843.5,4116.82,-273.32,Completed
ORD000049,2023-03-03,CUST02142,PROD0113,B002,3,3762.55,0.0,3762.55,2720.86,1041.69,Completed
ORD000051,2023-07-09,CUST00391,PROD0113,B005,5,6270.92,0.25,4703.19,4534.77,168.42,Completed
ORD000052,2023-11-13,CUST01512,PROD0109,B001,2,2711.73,0.0,2711.73,1950.22,761.51,Completed
ORD000053,2023-04-06,CUST01475,PROD0092,B004,3,313.33,0.1,282.0,199.91,82.09,Completed
ORD000061,2023-03-28,CUST01378,PROD0107,B001,1,1778.2,0.2,1422.56,1087.67,334.89,Completed
ORD000064,2023-04-13,CUST00063,PROD0115,B003,3,2239.64,0.0,2239.64,1381.96,857.68,Completed
ORD000066,2023-12-09,CUST02375,PROD0042,B004,3,4360.58,0.1,3924.52,3193.16,731.36,Completed
ORD000068,2023-04-10,CUST00130,PROD0071,B005,2,959.57,0.25,719.68,747.14,-27.46,Completed
ORD000073,2023-06-23,CUST00415,PROD0011,B003,2,1695.9,0.15,1441.51,1315.25,126.26,Completed
ORD000074,2023-09-05,CUST00489,PROD0088,B005,2,897.74,0.1,807.97,579.21,228.76,Completed
ORD000075,2023-02-08,CUST00801,PROD0094,B001,2,390.56,0.2,312.45,234.04,78.41,Completed
ORD000077,2023-08-14,CUST01455,PROD0018,B001,1,1721.31,0.1,1549.18,1071.91,477.27,Completed
ORD000083,2023-03-18,CUST00377,PROD0028,B001,5,3650.96,0.1,3285.87,2292.57,993.3,Completed
ORD000086,2023-11-30,CUST00949,PROD0031,B001,3,2001.1,0.05,1901.05,1642.48,258.57,Completed
ORD000087,2023-07-21,CUST00075,PROD0035,B002,5,2902.06,0.2,2321.65,2178.08,143.57,Completed
ORD000101,2023-12-19,CUST00701,PROD0074,B004,1,652.84,0.05,620.2,504.84,115.36,Completed
ORD000102,2023-06-13,CUST01335,PROD0092,B003,5,522.22,0.25,391.66,333.18,58.48,Completed
ORD000107,2023-10-02,CUST00804,PROD0015,B003,4,5684.27,0.2,4547.41,3534.91,1012.5,Completed
ORD000110,2023-12-25,CUST01035,PROD0066,B004,5,6991.07,0.15,5942.41,5022.45,919.96,Completed
ORD000114,2023-05-12,CUST02165,PROD0051,B001,1,896.09,0.0,896.09,594.05,302.04,Completed
ORD000122,2023-02-24,CUST01440,PROD0111,B002,1,1834.82,0.0,1834.82,1107.06,727.76,Completed
ORD000124,2023-10-06,CUST00198,PROD0111,B002,3,5504.46,0.15,4678.79,3321.19,1357.6,Completed
ORD000125,2023-04-21,CUST01977,PROD0080,B004,4,1626.4,0.15,1382.44,1127.99,254.45,Completed
ORD000132,2023-11-15,CUST02434,PROD0013,B005,3,2029.66,0.15,1725.21,1373.17,352.04,Completed
ORD000139,2023-03-19,CUST01725,PROD0008,B001,5,1327.77,0.05,1261.38,1094.54,166.84,Completed
ORD000140,2023-11-19,CUST00003,PROD0015,B002,3,4263.2,0.05,4050.04,2651.18,1398.86,Completed
ORD000141,2023-02-26,CUST02488,PROD0069,B005,1,1265.03,0.05,1201.78,686.44,515.34,Completed
ORD000142,2023-11-11,CUST01160,PROD0102,B004,3,2314.2,0.0,2314.2,1334.6,979.6,Completed
ORD000145,2023-08-16,CUST02292,PROD0099,B002,1,849.27,0.1,764.34,593.57,170.77,Completed
ORD000146,2023-05-02,CUST01022,PROD0013,B004,5,3382.77,0.2,2706.22,2288.62,417.6,Completed
ORD000149,2023-07-27,CUST00331,PROD0050,B001,4,4396.56,0.25,3297.42,2537.07,760.35,Completed
ORD000153,2023-12-24,CUST02137,PROD0096,B002,2,3553.84,0.1,3198.46,2068.95,1129.51,Completed
ORD000158,2023-12-26,CUST02253,PROD0053,B003,1,555.84,0.05,528.04,361.6,166.44,Completed
ORD000159,2023-10-11,CUST01476,PROD0051,B002,2,1792.18,0.1,1612.97,1188.1,424.87,Completed
ORD000160,2023-08-06,CUST01358,PROD0023,B001,5,6365.28,0.0,6365.28,3934.59,2430.69,Completed
ORD000174,2023-04-20,CUST00205,PROD0057,B001,4,2119.99,0.05,2013.99,2595.81,-581.82,Completed
ORD000178,2023-01-25,CUST02389,PROD0112,B002,2,1732.73,0.05,1646.09,1356.66,289.43,Completed
ORD000179,2023-09-23,CUST01199,PROD0054,B004,3,3383.03,0.1,3044.73,2286.1,758.63,Completed
ORD000184,2023-01-24,CUST01252,PROD0087,B003,5,5905.32,0.15,5019.53,4123.48,896.05,Completed
ORD000190,2023-08-16,CUST01063,PROD0053,B001,4,2223.35,0.1,2001.02,1446.41,554.61,Completed
ORD000197,2023-12-14,CUST01589,PROD0111,B002,3,5504.46,0.15,4678.79,3321.19,1357.6,Completed
ORD000198,2023-12-24,CUST01462,PROD0030,B003,2,2038.77,0.05,1936.83,1627.19,309.64,Completed
ORD000207,2023-06-27,CUST00542,PROD0055,B001,2,929.48,0.1,836.54,527.08,309.46,Completed
ORD000214,2023-08-13,CUST01811,PROD0106,B003,3,2155.74,0.2,1724.6,1293.66,430.94,Completed
ORD000215,2023-10-02,CUST00134,PROD0046,B003,4,893.34,0.1,804.01,674.21,129.8,Completed
ORD000219,2023-12-12,CUST00608,PROD0063,B002,4,530.72,0.0,530.72,401.86,128.86,Completed
ORD000221,2023-12-23,CUST00024,PROD0042,B002,1,1453.53,0.0,1453.53,1064.39,389.14,Completed
ORD000223,2023-04-14,CUST02183,PROD0083,B003,3,4962.56,0.1,4466.31,3364.43,1101.88,Completed
ORD000226,2023-08-23,CUST00833,PROD0024,B003,3,3846.1,0.2,3076.88,2109.28,967.6,Completed
ORD000227,2023-10-05,CUST00258,PROD0031,B001,2,1334.07,0.15,1133.96,1094.99,38.97,Completed
ORD000229,2023-11-23,CUST01178,PROD0116,B002,3,786.52,0.05,747.19,645.27,101.92,Completed
ORD000231,2023-09-01,CUST01099,PROD0079,B004,4,693.21,0.15,589.23,466.28,122.95,Completed
ORD000239,2023-10-17,CUST00476,PROD0093,B005,5,4331.76,0.05,4115.17,3178.36,936.81,Completed
ORD000245,2023-03-23,CUST00403,PROD0087,B002,3,3543.19,0.2,2834.55,2474.09,360.46,Completed
ORD000246,2023-07-31,CUST01283,PROD0035,B003,1,580.41,0.05,551.39,435.62,115.77,Completed
ORD000249,2023-11-23,CUST00374,PROD0057,B002,5,5025.49,0.0,5025.49,3244.76,1780.73,Completed
ORD000251,2023-03-17,CUST01035,PROD0010,B004,5,9212.77,0.2,7370.22,5359.98,2010.24,Completed
ORD000262,2023-11-09,CUST02442,PROD0061,B002,5,2241.0,0.05,2128.95,1575.12,553.83,Completed
ORD000263,2023-09-13,CUST01195,PROD0040,B005,5,4953.37,0.0,4953.37,2701.76,2251.61,Completed
ORD000268,2023-05-09,CUST00544,PROD0079,B001,2,346.61,0.05,329.27,233.14,96.13,Completed
ORD000269,2023-01-06,CUST01474,PROD0064,B002,1,925.23,0.25,693.92,703.29,-9.37,Completed
ORD000274,2023-03-12,CUST00011,PROD0073,B002,5,679.46,0.15,577.54,599.86,-22.32,Completed
ORD000283,2023-12-25,CUST02278,PROD0092,B002,3,313.33,0.05,297.67,199.91,97.76,Completed
ORD000285,2023-06-29,CUST01403,PROD0042,B001,3,4360.58,0.1,3924.52,3193.16,731.36,Completed
ORD000286,2023-05-31,CUST01106,PROD0096,B001,1,1776.92,0.05,1688.08,1034.47,653.61,Completed
ORD000287,2023-01-07,CUST00590,PROD0011,B004,1,847.95,0.1,763.15,657.62,105.53,Completed
ORD000292,2023-10-22,CUST02055,PROD0084,B002,4,2073.08,0.05,1969.42,1530.5,438.92,Completed
ORD000293,2023-04-01,CUST02011,PROD0005,B004,3,3667.18,0.1,3300.47,2261.19,1039.28,Completed
ORD000295,2023-10-11,CUST01463,PROD0040,B001,5,4953.37,0.05,4705.7,2701.76,2003.94,Completed
ORD000305,2023-05-16,CUST01534,PROD0009,B004,3,957.85,0.0,957.85,586.58,371.27,Completed
ORD000311,2023-03-02,CUST00366,PROD0064,B003,2,1850.46,0.1,1665.41,1406.57,258.84,Completed
ORD000326,2023-10-04,CUST01948,PROD0007,B001,1,47.71,0.1,42.94,35.75,7.19,Completed
ORD000327,2023-10-06,CUST02326,PROD0035,B003,3,1741.24,0.25,1305.93,1306.85,-0.92,Completed
ORD000330,2023-03-01,CUST00504,PROD0032,B002,4,2945.74,0.1,2651.16,1621.2,1029.96,Completed
ORD000331,2023-08-03,CUST01824,PROD0048,B002,1,888.37,0.05,843.95,615.49,228.46,Completed
