OrderID,OrderDate,CustomerID,ProductID,BranchID,Quantity,GrossSales,DiscountPct,Amount,Cost,Profit,OrderStatus
ORD000003,2026-01-22,CUST00467,PROD0053,B001,2,1111.68,0.1,1000.51,723.21,277.3,Completed
ORD000005,2026-08-15,CUST01647,PROD0071,B003,3,1439.36,0.2,1151.49,1120.72,30.77,Completed
ORD000008,2026-04-24,CUST01251,PROD0074,B004,2,1305.69,0.1,1175.12,1009.68,165.44,Completed
ORD000015,2026-03-08,CUST01323,PROD0001,B001,1,1939.39,0.1,1745.46,1063.18,682.28,Completed
ORD000025,2026-08-06,CUST00319,PROD0093,B003,2,1732.71,0.2,1386.16,1271.34,114.82,Completed
ORD000046,2026-04-08,CUST01280,PROD0085,B002,3,129.15,0.15,109.78,102.34,7.44,Completed
ORD000047,2026-04-06,CUST01893,PROD0004,B005,3,897.52,0.15,762.9,573.31,189.59,Completed
ORD000058,2026-03-11,CUST02050,PROD0095,B001,3,1065.41,0.2,852.33,803.65,48.68,Completed
ORD000063,2026-10-04,CUST01186,PROD0106,B004,4,2874.32,0.0,2874.32,1724.88,1149.44,Completed
ORD000065,2026-03-31,CUST00312,PROD0003,B003,1,377.79,0.15,321.12,267.73,53.39,Completed
ORD000067,2026-07-05,CUST02081,PROD0054,B001,5,5638.39,0.15,4792.63,3810.16,982.47,Completed
ORD000071,2026-12-01,CUST00296,PROD0072,B002,4,1860.63,0.0,1860.63,1306.48,554.15,Completed
ORD000078,2026-01-15,CUST01634,PROD0030,B002,3,3058.15,0.05,2905.24,2440.78,464.46,Completed
ORD000080,2026-02-11,CUST01867,PROD0094,B001,3,585.84,0.1,527.26,351.05,176.21,Completed
ORD000084,2026-02-06,CUST00035,PROD0113,B001,4,5016.73,0.05,4765.9,3627.81,1138.09,Completed
ORD000088,2026-08-10,CUST00931,PROD0013,B003,1,676.55,0.2,541.24,457.72,83.52,Completed
ORD000091,2026-08-25,CUST01146,PROD0109,B002,3,4067.6,0.1,3660.84,2925.33,735.51,Completed
ORD000093,2026-11-23,CUST01652,PROD0108,B003,2,1819.76,0.0,1819.76,1046.85,772.91,Completed
ORD000095,2026-04-19,CUST01037,PROD0079,B002,2,346.61,0.0,346.61,233.14,113.47,Completed
ORD000096,2026-11-17,CUST00379,PROD0104,B001,2,3204.91,0.25,2403.68,2119.14,284.54,Completed
ORD000100,2026-11-18,CUST01590,PROD0107,B004,4,7112.81,0.2,5690.25,4350.68,1339.57,Completed
ORD000103,2026-05-27,CUST00269,PROD0090,B001,1,319.88,0.1,287.89,200.18,87.71,Completed
ORD000105,2026-01-30,CUST01138,PROD0081,B003,4,532.43,0.0,532.43,396.43,136.0,Completed
ORD000111,2026-05-27,CUST01395,PROD0004,B004,5,1495.87,0.05,1421.08,955.52,465.56,Completed
ORD000121,2026-04-03,CUST01652,PROD0068,B004,2,2049.87,0.1,1844.88,1646.73,198.15,Completed
ORD000123,2026-07-04,CUST00911,PROD0085,B004,5,215.26,0.2,172.21,170.57,1.64,Completed
ORD000126,2026-12-04,CUST01923,PROD0066,B002,3,2667.94,0.15,2267.75,3013.47,-745.72,Completed
ORD000127,2026-08-26,CUST02209,PROD0023,B001,5,4409.64,0.15,3748.19,3934.59,-186.4,Completed
ORD000129,2026-11-29,CUST00455,PROD0026,B002,1,393.51,0.15,334.48,284.3,50.18,Completed
ORD000136,2026-08-07,CUST01558,PROD0077,B004,5,1520.11,0.05,1444.11,1230.26,213.85,Completed
ORD000143,2026-03-18,CUST00312,PROD0082,B002,4,8378.11,0.2,6702.49,4534.66,2167.83,Completed
ORD000144,2026-06-25,CUST00269,PROD0014,B003,3,4142.63,0.15,3521.24,2371.81,1149.43,Completed
ORD000150,2026-07-01,CUST00117,PROD0113,B004,2,2508.37,0.25,1881.27,1813.91,67.36,Completed
ORD000155,2026-02-07,CUST01111,PROD0118,B002,5,1449.42,0.0,1449.42,970.84,478.58,Completed
ORD000163,2026-08-31,CUST00592,PROD0077,B005,2,608.04,0.15,516.84,492.1,24.74,Completed
ORD000170,2026-09-23,CUST01260,PROD0104,B005,5,8012.27,0.1,7211.04,5297.84,1913.2,Completed
ORD000180,2026-01-12,CUST00522,PROD0019,B001,2,1777.39,0.15,1510.78,1108.38,402.4,Completed
ORD000189,2026-04-22,CUST00027,PROD0049,B001,5,6663.61,0.2,5330.89,3855.39,1475.5,Completed
ORD000194,2026-10-19,CUST01576,PROD0083,B001,3,4962.56,0.1,4466.31,3364.43,1101.88,Completed
ORD000196,2026-02-06,CUST00289,PROD0110,B002,2,1593.43,0.1,1434.09,926.38,507.71,Completed
ORD000205,2026-03-03,CUST00722,PROD0076,B001,5,1499.88,0.15,1274.89,1200.24,74.65,Completed
ORD000206,2026-07-07,CUST01431,PROD0119,B005,3,1795.75,0.15,1526.39,1302.93,223.46,Completed
ORD000209,2026-04-05,CUST01670,PROD0015,B005,1,1421.07,0.1,1278.96,883.73,395.23,Completed
ORD000211,2026-07-09,CUST00854,PROD0023,B001,4,5092.22,0.15,4328.39,3147.68,1180.71,Completed
ORD000216,2026-12-08,CUST02002,PROD0067,B003,3,2720.42,0.15,2312.36,1491.98,820.38,Completed
ORD000217,2026-02-18,CUST01728,PROD0079,B001,2,346.61,0.05,329.27,233.14,96.13,Completed
ORD000225,2026-08-28,CUST00560,PROD0093,B002,4,3465.41,0.05,3292.14,2542.69,749.45,Completed
ORD000228,2026-06-03,CUST00889,PROD0059,B003,2,1950.0,0.0,1950.0,1233.42,716.58,Completed
ORD000238,2026-05-29,CUST01312,PROD0094,B003,2,390.56,0.2,312.45,234.04,78.41,Completed
ORD000240,2026-01-19,CUST00377,PROD0027,B002,3,2053.13,0.05,1950.48,1487.24,463.24,Completed
ORD000242,2026-04-28,CUST02451,PROD0077,B001,5,1520.11,0.1,1368.1,1230.26,137.84,Completed
